Fecha,Unidad,Actividad,Ponderacion,Semestre,Clave,Grupo
2023/02/22,1,apren 2,5 ,'23-2,1426,8551
2023/03/01,1,,5 ,'23-2,1426,8551
2023/03/08,1,refor,6 ,'23-2,1426,8551
2023/03/15,,,,'23-2,1426,8551
2023/03/22,2,loque,5 ,'23-2,1426,8551
2023/03/29,2,,6 ,'23-2,1426,8551
2023/04/12,3,apren 2,5 ,'23-2,1426,8551
2023/04/19,,,,'23-2,1426,8551
2023/04/21,3,refor,6 ,'23-2,1426,8551
2023/04/26,4,,5 ,'23-2,1426,8551
2023/05/03,4,refor,6 ,'23-2,1426,8551
2023/05/05,,,,'23-2,1426,8551
2023/05/12,5,foro 3,8 ,'23-2,1426,8551
2023/05/24,5,,5 ,'23-2,1426,8551
