Fecha,Unidad,Actividad,Ponderacion,Semestre,Clave,Grupo
2023/02/16,1,foro,5 ,'23-2,1427,8551
2023/02/23,1,,5 ,'23-2,1427,8551
2023/03/02,2,apren 2,5 ,'23-2,1427,8551
2023/03/09,,,,'23-2,1427,8551
2023/03/14,3,apren 4,5 ,'23-2,1427,8551
2023/03/16,3,,5 ,'23-2,1427,8551
2023/03/23,4,foro,5 ,'23-2,1427,8551
2023/03/30,4,,5 ,'23-2,1427,8551
2023/04/13,5,apren 1,5 ,'23-2,1427,8551
2023/04/20,,,,'23-2,1427,8551
2023/04/27,5,apren,5 ,'23-2,1427,8551
2023/05/09,6,,5 ,'23-2,1427,8551
2023/05/18,6,Act.complementaria,5 ,'23-2,1427,8551
2023/05/25,7,,5 ,'23-2,1427,8551
2023/06/01,7,loque,5 ,'23-2,1427,8551
