Fecha,Unidad,Actividad,Ponderacion,Semestre,Clave,Grupo
2023/02/22,1,Act.complementaria 1,10 ,'23-2,1154,8551
2023/02/27,,,,'23-2,1154,8551
2023/03/06,2,Act.complementaria 1,10 ,'23-2,1154,8551
2023/03/15,2,,8 ,'23-2,1154,8551
2023/03/22,3,apren 1,4 ,'23-2,1154,8551
2023/03/29,,,,'23-2,1154,8551
2023/04/10,3,apren 3,2 ,'23-2,1154,8551
2023/04/19,4,,4 ,'23-2,1154,8551
2023/04/24,4,apren 2,4 ,'23-2,1154,8551
2023/05/03,,,,'23-2,1154,8551
2023/05/08,5,apren 2,2 ,'23-2,1154,8551
2023/05/17,5,,5 ,'23-2,1154,8551
2023/05/22,5,refor,3 ,'23-2,1154,8551
2023/05/24,6,,10 ,'23-2,1154,8551
