Fecha,Unidad,Actividad,Ponderacion,Semestre,Clave,Grupo
2023/02/15,1,com,4 ,'23-2,1526,8551
2023/02/20,,,,'23-2,1526,8551
2023/02/27,3,com,4 ,'23-2,1526,8551
2023/03/13,,,,'23-2,1526,8551
2023/03/22,5,com,4 ,'23-2,1526,8551
2023/03/29,6,,4 ,'23-2,1526,8551
2023/04/12,7,com,4 ,'23-2,1526,8551
2023/04/19,,,,'23-2,1526,8551
2023/04/24,8,foro,5 ,'23-2,1526,8551
2023/04/26,9,,5 ,'23-2,1526,8551
2023/05/03,9,foro,5 ,'23-2,1526,8551
2023/05/17,1,,4 ,'23-2,1526,8551
2023/05/24,1,com,4 ,'23-2,1526,8551
2023/05/29,1,,4 ,'23-2,1526,8551
