Fecha,Unidad,Actividad,Ponderacion,Semestre,Clave,Grupo
2023/02/20,1,apren 1,2 ,'23-2,1454,8451
2023/02/22,1,apren 3,2 ,'23-2,1454,8451
2023/02/27,1,com 1,2 ,'23-2,1454,8451
2023/03/01,1,refor,2 ,'23-2,1454,8451
2023/03/06,2,apren 1,2 ,'23-2,1454,8451
2023/03/08,2,apren 3,2 ,'23-2,1454,8451
2023/03/13,2,com 1,2 ,'23-2,1454,8451
2023/03/15,2,refor,2 ,'23-2,1454,8451
2023/03/22,3,apren 1,2 ,'23-2,1454,8451
2023/03/27,3,apren 2,3 ,'23-2,1454,8451
2023/03/29,3,refor,2 ,'23-2,1454,8451
2023/03/29,3,com 1,2 ,'23-2,1454,8451
2023/04/10,4,apren 2,2 ,'23-2,1454,8451
2023/04/12,4,apren 3,3 ,'23-2,1454,8451
2023/04/17,4,refor,2 ,'23-2,1454,8451
2023/04/19,5,apren 1,3 ,'23-2,1454,8451
2023/04/24,5,apren 2,3 ,'23-2,1454,8451
2023/04/26,5,com 1,2 ,'23-2,1454,8451
2023/05/03,5,refor,2 ,'23-2,1454,8451
2023/05/08,6,apren 2,2 ,'23-2,1454,8451
2023/05/17,6,com 1,2 ,'23-2,1454,8451
2023/05/22,6,com 2,2 ,'23-2,1454,8451
2023/05/24,6,refor,2 ,'23-2,1454,8451
