Fecha,Unidad,Actividad,Ponderacion,Semestre,Clave,Grupo
2023/02/16,1,Act.complementaria 1,5 ,'23-2,1527,8552
2023/02/23,2,Act.complementaria 1,5 ,'23-2,1527,8552
2023/03/09,2,Act.complementaria 2,5 ,'23-2,1527,8552
2023/03/16,3,Act.complementaria 1,5 ,'23-2,1527,8552
2023/03/23,3,Act.complementaria 2,5 ,'23-2,1527,8552
2023/03/30,4,Act.complementaria 1,5 ,'23-2,1527,8552
2023/04/13,4,Act.complementaria 2,5 ,'23-2,1527,8552
2023/04/20,5,Act.complementaria 1,5 ,'23-2,1527,8552
2023/04/27,5,Act.complementaria 1,5 ,'23-2,1527,8552
2023/05/04,6,Act.complementaria 1,5 ,'23-2,1527,8552
2023/05/11,6,Act.complementaria 2,5 ,'23-2,1527,8552
2023/05/18,7,Act.complementaria 1,5 ,'23-2,1527,8552
2023/05/25,8,Act.complementaria 1,5 ,'23-2,1527,8552
