clave_materia,materia,semestre,administracion,contaduría,informática
1031,DESARROLLO EMPRESARIAL,7,1,,
1032,DESARROLLO ORGANIZACIONAL,8,1,,
1033,GERENCIA DEL PRODUCTO,6,1,,
1039,ADMINISTRACION DEL RIESGO,8,,1,
1051,PORTAFOLIO DE INVERSIONES,6,,1,
1096,ADMINISTRACION DE LA TECNOLOGIA,6,1,,
1099,DESARROLLO DE FRANQUICIAS,8,1,,
1141,ENTORNO DE LAS ORGANIZACIONES,1,1,,
1142,ESTADISTICA DESCRIPTIVA,1,1,,
1143,FUNDAMENTOS DE ADMINISTRACIÓN,1,1,,
1144,TECNOLOGÍAS DE INFORMACIÓN Y COMUNICACIÓN,1,1,,
1151,CONCEPTOS JURIDICOS FUNDAMENTALES,1,1,1,
1151,CONCEPTOS JURIDICOS FUNDAMENTALES,3,,,1
1154,MATEMATICAS FINANCIERAS,1,,1,
1154,MATEMATICAS FINANCIERAS,4,,,1
1154,MATEMATICAS FINANCIERAS,5,1,,
1156,TEORIA DEL CONOCIMIENTO,1,1,1,1
1157,ADMINISTRACION BASICA,1,,1,
1158,CONTABILIDAD I,1,,1,
1159,MACROECONOMIA,1,,1,
1160,TECNOLOGÍAS DE INFORMACIÓN Y COMUNICACIÓN I,1,,1,
1164,"ANALISIS, DISEÑO E IMPLANTACION DE ALGORITMOS",1,,,1
1165,CONTABILIDAD,1,,,1
1167,INTRODUCCION A LA PROGRAMACION,2,,,1
1168,MATEMATICAS I (ALGEBRA LINEAL),1,,,1
1169,INFORMATICA I (FUNDAMENTOS),1,,,1
1213,DIAGNOSTICO DE MERCADOS,2,,1,
1214,TECNOLOGÍAS DE INFORMACIÓN Y COMUNICACIÓN II,2,,1,
1215,ADMINISTRACIÓN,2,,,1
1216,INFORMÁTICA II (ADMINISTRACIÓN DE REQUERIMIENTOS),2,,,1
1217,MATEMATICAS II (RAZONAMIENTO LÓGICO MATEMÁTICO PARA LA TOMA DE DECISIONES),2,,,1
1242,ESTADISTICA INFERENCIAL,2,1,,
1243,INFORMACIÓN FINANCIERA,2,1,,
1244,ORGANIZACIÓN Y PROCEDIMIENTOS,2,1,,
1252,DERECHO MERCANTIL,2,,1,
1253,ESTADISTICA I,2,,1,
1254,MACROECONOMIA,2,1,,
1255,PRINCIPIOS Y TECNICAS DE LA INVESTIGACION,2,1,,
1257,CONTABILIDAD II,2,,1,
1259,PRINCIPIOS Y TECNICAS DE LA INVESTIGACION,2,,1,
